富樫泰高||加賀守護をめぐる抗争、半国分治、一向一揆後の再擁立を評価する。晩年の実権には制約があった。1504年以前の死去とされ、1546年の出仕対象を意味しない。|M:24:在地勢力を組織して守護職を争ったが支配は分裂。;P:22:加賀の長期抗争への参戦を地域主力の標準遂行とする。;M:23:幕府有力者との連携で復帰した一方、一揆側の制約を受けた。;M:23:半国分治と守護職の運営を担うが全域支配は安定しなかった。;N:12:富樫泰高について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
松田頼秀||関東下向後の失脚、所領喪失、寺院建立と上杉家間の抗争を参照。伝記の評定衆表記など年代的な不整合は採らず、1494年の敗死を明記。|F:6:参照した最終戦では包囲を脱せず敗死する。;F:5:本人に帰せる明確な勝利を確認できず最終戦の敗北を反映。;M:17:複数勢力への働きかけはあるが失脚・対立も大きい。;A:21:龍泉寺の開基という地域基盤整備を評価。;N:12:松田頼秀について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
長野顕業||厩橋長野氏の当主とみられ、寺院の位牌・寄進から活動が推定される。1506年以前の没で、房業らの戦功を本人に加算しない。|N:12:長野顕業について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:長野顕業について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:長野顕業について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:20:厩橋拠点の当主としての地域運営と寺院との関係を限定評価。;N:12:長野顕業について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
植村氏義||岡崎五人衆の一人とされ、大樹寺への寄進・奉加など文書に現れる。名門であることを軍団指揮の証明にはしない。|N:12:植村氏義について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:植村氏義について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:植村氏義について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;A:21:大樹寺との土地取引や奉加に関する具体的な地域実務を評価。;N:12:植村氏義について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
青木康延||斯波氏の奉行人から朝倉氏期の府中奉行へ移った人物。息子景康と孫康忠の軍事活動は加点しない。|N:12:青木康延について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:青木康延について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:青木康延について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:22:府中奉行としての地域行政を標準的に遂行したと解釈。;N:12:青木康延について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
一色義清 (戦国時代)||石川直経に擁立された丹後の人物。一色九郎らとの争いと加悦方面での敗退を参照。擁立した側の政策を本人の功績としない。|F:6:参照範囲では一色家内部の軍事抗争で敗退する。;F:5:本人の部隊の成功例を確認できず加悦方面の敗北を反映。;N:12:一色義清 (戦国時代)について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:一色義清 (戦国時代)について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:一色義清 (戦国時代)について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
細川勝基||和泉下守護として家臣や書状から活動が確認される。土佐での後年の活動も記すが、発給文書が乏しく具体的施策は不明。|N:12:細川勝基について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:細川勝基について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;P:18:地域有力者への書状連絡を外交実務の参加として扱う。;P:21:和泉下守護としての行政上の役割を評価。;N:12:細川勝基について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
大井玄慶||大井城と城下の復興、龍雲寺の再興を参照。前代の落城や後継の大井氏の戦功を本人の得失に含めない。|N:12:大井玄慶について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:大井玄慶について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:大井玄慶について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;A:23:大井城下の復旧と寺院再興の地域再建実績。;N:12:大井玄慶について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
大井安房丸||1483年に大井城主として頭役を担い、翌年の村上氏侵攻で落城し小諸へ退いた。大井政則との同定は未確定。|F:6:大井城を維持できず小諸に退いた指揮結果。;F:5:参照範囲は大井城落城が中心で成功例は確認できない。;N:12:大井安房丸について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:18:御射山頭役を含む領主実務への参加を評価。;N:12:大井安房丸について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
大井光照||岩村田大井氏の家督と一族の配置に関わったとされる。子の城主配置を引き抜いた部下の活用と読み替えず、家系の同定にも留保を付す。|N:12:大井光照について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:大井光照について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:大井光照について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:20:大井領の家督と地域拠点の管理を担った範囲を評価。;N:12:大井光照について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
大井行真||岩尾城の領主として活動し高野山参詣と桃源院建立が伝わる。1539年没とされる。参詣そのものを外交戦果にしない。|N:12:大井行真について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:大井行真について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:大井行真について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;A:21:地域領主としての運営と桃源院建立を評価。;N:12:大井行真について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
久松定益||佐治氏との戦いで親族の援軍を受けたとされる。1510年没。子孫の松平家との関係や後代の功績を加算しない。|P:20:阿久比周辺の戦いで領主の軍役を担った。;P:19:佐治氏との戦闘参加を標準遂行とする。;N:12:久松定益について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:19:阿久比の領主としての地域運営を評価。;N:12:久松定益について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
松平親清 (長沢松平家)||長沢家の系譜には接合の疑義があるが、1501年の大樹寺連判状への署名が確認される。系譜の没年と文書の年代の食い違いを明記する。|N:12:松平親清 (長沢松平家)について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:松平親清 (長沢松平家)について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;P:18:松平庶流家の結束を図る連署への参加を評価。;N:12:松平親清 (長沢松平家)について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:松平親清 (長沢松平家)について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
松平与副||形原家の祖とする系譜がある一方、光忠が初代で与副は貞副の別名・誤記とする説もある。別人としての実績を確定できず全項目を暫定値とする。|N:12:松平与副について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:松平与副について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:松平与副について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:松平与副について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:松平与副について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
千葉胤宗 (武蔵千葉氏)||武蔵千葉氏の人物。1574年の関宿攻めに北条方で従軍して戦死した活動を対象にし、他系統の千葉氏と区別。|P:20:北条方に従う在地部隊の運用を限定評価。;P:21:関宿攻めへの従軍を重要戦域での標準遂行とする。;N:12:千葉胤宗 (武蔵千葉氏)について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:千葉胤宗 (武蔵千葉氏)について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:千葉胤宗 (武蔵千葉氏)について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
千葉興常||大内氏の庇護を受けた肥前東千葉家の人物で、肥前守護代となったとされる。大内義興の戦果を本人の直接指揮の功績にはしない。|N:12:千葉興常について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:千葉興常について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;P:20:大内氏と連携した地域政治に関与した範囲を評価。;P:22:肥前守護代としての地域行政を標準遂行とする。;N:12:千葉興常について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
栗原信遠||武田氏の家督争いで信昌・信恵側に立ち、国中勢を率いて穴山氏を攻めた。1501年の敗北で自害。|M:18:国中勢を率いる任務がある一方、最終的に敗北した。;F:5:参照範囲で明確な勝利を確認できず最終戦の敗北を反映。;F:6:信昌方を支えた戦略が本人の存続につながらなかった。;P:19:栗原郷の領主としての地域運営を評価。;N:12:栗原信遠について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
栗原信重||1531年に反信虎勢力と連携して東郡で挙兵したが、万力の戦いで敗れ降伏。敵将の戦死を本人の部隊の確定戦果としては採らない。|F:6:東郡の挙兵が敗北・降伏に終わった。;F:5:本人側の成功例を確認できず万力の敗北を反映。;F:6:東西挟撃の企図が実らなかった。;P:19:栗原郷の当主としての地域運営を評価。;N:12:栗原信重について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
今井信乂||府中今井氏の人物。武田信縄に対して油川信恵を支持し敗死したとされる。子孫の軍功を加算しない。|F:6:参照範囲の軍事活動は信恵側での敗北に終わる。;F:5:本人の戦術上の成功例を確認できず敗死を反映。;F:6:信恵を支える陣営選択が失敗に終わった。;N:12:今井信乂について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:今井信乂について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
伊藤信恒||1490年の家督継承後、吉見氏二代に仕え武功を立てたとされる。個別戦場・指揮規模は不明で、1536年没。|P:20:吉見氏の家臣としての軍役を限定的に評価。;A:22:武功の記述はあるが内容未詳のため上位点を抑える。;N:12:伊藤信恒について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:18:家領運営の責任を担った範囲を評価。;N:12:伊藤信恒について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
伊藤祐重||舟岡城主で土岐氏に仕え、1542年大桑合戦で戦死。参戦の事実を評価し、単なる戦死を重大な失策と読み替えない。|P:20:舟岡の守備と土岐方での軍役を評価。;P:21:大桑での従軍を標準遂行とする。;N:12:伊藤祐重について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:19:舟岡城主の地域実務を評価。;N:12:伊藤祐重について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
大内高弘||周防国衙目代としての活動と、反乱関与・亡命、大友方と村上氏への連絡を参照。租税紛争も併記する。|N:12:大内高弘について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:大内高弘について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;M:16:亡命後にも連絡を続けたが政治的な失敗が大きい。;M:17:国衙実務を担った一方で租税をめぐる紛争がある。;N:12:大内高弘について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
藤原興親||厳島神主。義稙帰洛に同行し、棚守職や舞師の補任を行った。1508年没後の抗争は本人の存命中の施策と区別する。|N:12:藤原興親について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:藤原興親について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;P:19:将軍の帰洛に同行した対外政治活動を評価。;P:22:厳島の職務補任を行った具体的な組織運営を評価。;N:12:藤原興親について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
野間刑部大輔||1523年の五日市襲撃で大内方水軍として出陣し退却中に戦死。吉浦の野間氏と推定されるが、矢野の野間氏や同族の知行は転用しない。|P:21:大内水軍の作戦に加わる現場運用。;P:21:五日市の戦役参加を標準遂行とし総大将の判断と区別。;N:12:野間刑部大輔について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:野間刑部大輔について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:野間刑部大輔について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
小林和泉守||小山田氏家臣で1523年に大原代官として確認される。実名・血縁には留保がある。1536年没で、子の山中合戦での戦死は加点・減点に使わない。|N:12:小林和泉守について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:小林和泉守について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:小林和泉守について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:20:大原代官としての地域行政を標準遂行とする。;N:12:小林和泉守について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
一色政煕||1460年頃に越前や寺領の代官に関する御教書に見える人物。系譜上の人物同定と年代は引き続き照合対象で、1546年存命の証拠ではない。|N:12:一色政煕について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:一色政煕について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:一色政煕について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:19:御教書に見える代官実務を限定的に評価。;N:12:一色政煕について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
内藤元康||1532年に毛利家臣団の利害調整を求める連署へ参加。1534年没とされ、署名順位を能力順位として用いない。|N:12:内藤元康について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:内藤元康について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;P:18:家臣団による利害調整の政治活動への参加を評価。;N:12:内藤元康について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:内藤元康について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
山中氏頼||北条氏綱に仕えた江戸衆の人物。子頼次の川越城将としての実績を父へ転用しない。奉公先の記載だけでは個別の戦や政務を確定できない。|N:12:山中氏頼について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:山中氏頼について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:山中氏頼について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:山中氏頼について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:山中氏頼について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
荒木彦次郎||伊勢盛時以来の家臣とされるが、御由緒六家の人名には後世の創作や表記の相違がある。随行の記録を独立した部隊戦果・行政成果に換算しない。|N:12:荒木彦次郎について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:荒木彦次郎について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:荒木彦次郎について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:荒木彦次郎について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:荒木彦次郎について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
鳥居忠明||鳥居忠吉の父で渡城主とする家譜の記述を参照。具体的な戦役・政策は確認できず、城主という肩書のみで施策や戦果を創作しない。|N:12:鳥居忠明について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:鳥居忠明について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:鳥居忠明について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:鳥居忠明について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:鳥居忠明について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
林通安 (八郎左衛門)||林秀貞の父とされる人物。本人の具体的な任務を確認できないため、秀貞・通具の実績を借用せず全項目を暫定値とする。|N:12:林通安 (八郎左衛門)について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:林通安 (八郎左衛門)について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:林通安 (八郎左衛門)について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:林通安 (八郎左衛門)について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:林通安 (八郎左衛門)について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
山本貞幸||山本勘助の父とする後世の地誌・系譜に見られる人物。明確な同時代史料がなく、勘助の逸話を本人の能力へ移さない。|N:12:山本貞幸について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:山本貞幸について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:山本貞幸について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:山本貞幸について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:山本貞幸について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
前野時正||前野氏の家譜・武功夜話系の記述に敏信への奉公、奉行職などが見える。史料の成立・年代整合に問題があり、伝承だけの戦功を確定しない。|N:12:前野時正について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:前野時正について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:前野時正について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:前野時正について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:前野時正について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
前野長義||軍奉行・六角征伐の記述があるが、参照伝記は武功夜話などへの依存と信頼性の問題を明記している。原史料の照合前に具体的な討取数を能力へ換算しない。|N:12:前野長義について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:前野長義について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:前野長義について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:前野長義について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:前野長義について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
太田垣誠朝||嘉吉の乱の軍功と播磨守護代・竹田城主就任を伝えるが、初代城主の同定などに食い違いがある。通光・光景の実績と分離できるまで暫定値とする。|N:12:太田垣誠朝について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:太田垣誠朝について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:太田垣誠朝について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:太田垣誠朝について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:太田垣誠朝について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
富樫基光||坪内姓使用と家中抗争での軍功が伝えられる。一門系譜を主とする資料のため、戦功の具体性や年代の整合は未確認。|N:12:富樫基光について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:富樫基光について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:富樫基光について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:富樫基光について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:富樫基光について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
富樫基定||越前丸岡居住と坪内姓の使用を伝える人物。子頼定の尾張での築城を父の功績としない。領地を治めたという記述のみで政策成果は補わない。|N:12:富樫基定について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:富樫基定について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:富樫基定について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:富樫基定について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:富樫基定について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
富樫国定||富樫・斯波両家との関係、軍功と知行喪失が家譜系の伝記にある。系譜・年代の照合を残し、実在・活動の具体性を確定する前の暫定値とする。|N:12:富樫国定について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:富樫国定について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:富樫国定について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:富樫国定について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:富樫国定について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
仁木義広||伊勢・伊賀の仁木氏の系譜や実名に混同がある。高将・義持などに帰属し得る事績をこのIDに一括集約せず、全項目を資料不足の暫定値とする。|N:12:仁木義広について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:仁木義広について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:仁木義広について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:仁木義広について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:仁木義広について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
細川通政||野州家当主とする系譜がある一方、近年は架空人物説が提示されている。通董などの人物の実績を転用せず、原台帳の同定再検討を必要とする暫定値。|N:12:細川通政について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:細川通政について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:細川通政について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:細川通政について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:細川通政について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
菅沼定顕||三河一向一揆の発端となる兵糧徴発を行ったという松平記の記述に史実性の疑義がある。疑わしい事件だけを理由に失敗のみの5点へ下げない。|N:12:菅沼定顕について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:菅沼定顕について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:菅沼定顕について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:菅沼定顕について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:菅沼定顕について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
武田義頼||江源武鑑系の人物伝に六角家出身・若狭武田家養子などがあるが、親子の年代や軍勢記事の整合に問題がある。三千の動員を確定軍功として採らず暫定値とする。|N:12:武田義頼について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:武田義頼について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:武田義頼について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:武田義頼について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:武田義頼について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
国分盛廉||一部系図だけに見え実在に疑問がある人物。国分氏の他の当主や中野討伐の実績を転用せず、人物同定が済むまで全項目を暫定評価とする。|N:12:国分盛廉について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:国分盛廉について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:国分盛廉について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:国分盛廉について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:国分盛廉について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
石川伊予守||後世の軍記では備中から伊予へ移った石川虎之助とされるが、その人物を裏付ける資料が不足する。別の石川氏当主の領国運営を借用しない。|N:12:石川伊予守について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:石川伊予守について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:石川伊予守について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:石川伊予守について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:石川伊予守について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
小田顕家 (常陸国)||既存IDは小田成治の次子を指す。騎西城主として紹介される別系統の小田顕家との同定を保留し、騎西の寺院・軍歴を取り込まない。|N:12:小田顕家 (常陸国)について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:小田顕家 (常陸国)について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:小田顕家 (常陸国)について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:小田顕家 (常陸国)について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:小田顕家 (常陸国)について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
内藤源左衛門||短い英語人物項目以外に同定を支える資料が不足する。丹波亀山二十万石という記述を裏付け未確認のまま指揮・政治へ換算しない。|N:12:内藤源左衛門について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:内藤源左衛門について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:内藤源左衛門について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:内藤源左衛門について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:内藤源左衛門について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
生駒正純||大坂参加と宇陀崩れに関する記述には長い年代隔たりがあり、同名者の混在を検討する必要がある。後世の家中争いを一人の失策として断定せず暫定値とする。|N:12:生駒正純について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:生駒正純について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:生駒正純について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:生駒正純について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:生駒正純について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
柿並弘慶||大内教幸の子で、のち政弘・義興に仕えたとされる。父の反乱当時の本人の動向は不明。父や兄弟の軍功・失敗を合算せず、奉公先のみから任務を創作しない。|N:12:柿並弘慶について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:柿並弘慶について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;N:12:柿並弘慶について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:柿並弘慶について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:柿並弘慶について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
